year,Crash Month,dayweek,co_char,roadclass,weather,lightcond,numfatal,intersectiontype,wk_zone,spdlim,hitrun_inv,dralc_inv,aid_inv,did_inv,id_inv,impnm_inv,nmalc_inv,ainm_inv,dinm_inv,speed_inv,unlic_inv,drowsy_inv,dr1517_inv,dr1820_inv,dr1520_inv,dr2124_inv,dr1524_inv,dr65_inv,dr70_inv,dr75_inv,wrongway,oppdir
2022,1,Monday,King,State route,2,3,1,2,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Whatcom,State route,10,1,1,1,0,55,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Lewis,State route,2,1,1,1,0,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,1,Friday,Pierce,State route,10,1,1,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Friday,Klickitat,State route,1,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Whatcom,State route,4,2,1,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,King,City street,2,3,1,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Lewis,County road,2,2,1,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Pierce,Interstate,2,2,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Saturday,Pierce,County road,1,1,1,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Thursday,Douglas,State route,10,2,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Sunday,King,State route,10,3,2,1,0,98,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Thursday,Spokane,County road,5,4,1,1,0,45,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2022,1,Thursday,Kitsap,County road,1,1,1,1,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Wednesday,Spokane,Interstate,10,2,1,1,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Saturday,King,State route,5,2,1,1,0,60,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Pend Oreille,US highway,5,3,1,1,0,45,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Saturday,Spokane,City street,1,3,1,1,0,35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Skagit,County road,10,2,1,1,0,35,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,1,Sunday,Spokane,City street,1,3,1,2,0,35,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2022,1,Saturday,Pierce,County road,1,3,1,1,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Lewis,Interstate,2,3,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Whatcom,County road,2,1,1,2,0,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2022,1,Friday,Snohomish,City street,1,5,1,2,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Tuesday,Grant,State route,10,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Friday,Yakima,County road,5,1,3,1,0,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
2022,1,Friday,Kitsap,County road,1,1,1,1,0,35,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Whatcom,City street,5,3,1,1,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Spokane,City street,10,3,1,3,0,30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2022,1,Sunday,Okanogan,US highway,10,2,1,1,0,60,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,1,Saturday,Pierce,State route,1,2,1,1,0,50,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,1,Saturday,Pierce,County road,1,3,1,1,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Yakima,US highway,1,1,1,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Kitsap,State route,10,4,1,1,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Friday,Snohomish,US highway,1,2,1,1,0,50,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Wednesday,Jefferson,US highway,10,1,1,2,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,1,Monday,Yakima,County road,1,1,1,2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2022,2,Tuesday,Whatcom,Interstate,5,2,1,1,0,70,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
2022,1,Saturday,Skagit,City street,1,3,1,2,0,35,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
2022,2,Tuesday,King,City street,10,3,1,1,0,35,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,1,Sunday,Clark,County road,1,1,1,2,0,40,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Friday,Skagit,County road,1,2,1,1,0,50,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,Thursday,Grant,Interstate,1,2,1,1,0,70,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Saturday,Douglas,City street,10,1,1,3,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
